idx	impl	1H_DSSD_E	1H_Veto_E	2H_DSSD_E	2H_Veto_E	3H_DSSD_E	3H_Veto_E	3He_DSSD_E	3He_Veto_E	4He_DSSD_E	4He_Veto_E
307	30700000	1058330	1003110	1831900	1732330	2402880	2698790	11062770	19637230	14588030	16111970
308	30800000	1027390	1129800	1697970	1770730	2326710	2610480	11015610	19784390	14090730	16709270
309	30900000	1200910	1087310	1892780	1856950	2414160	2646080	10931740	19968260	14352280	16547720
310	31000000	987140	1042640	1797820	1850150	2421030	2816600	11017240	19982760	14129150	16870850
311	31100000	1151700	931690	1705520	1762010	2361450	2696310	10894530	20205470	14339780	16760220
312	31200000	1029490	1099520	1688460	1851150	2486890	2696090	10757640	20442360	14248910	16951090
313	31300000	972700	1124640	1651450	1848170	2362780	2560170	10714370	20585630	14216950	17083050
314	31400000	925650	840940	1771210	1723860	2401760	2494610	10826680	20573320	14331580	17068420
315	31500000	1047540	1106260	1754950	1892670	2388890	2533180	10410970	21089030	13871320	17628680
316	31600000	983230	1001150	1636820	1716070	2485050	2638530	10917360	20682640	14479170	17120830
317	31700000	1045360	1004350	1692020	1890920	2358540	2603320	10976880	20723120	14160020	17539980
318	31800000	1007940	926040	1724620	1815880	2535350	2583800	10532890	21267110	14071790	17728210
319	31900000	1159700	1057990	1705190	1641130	2404410	2541430	10330640	20269586	14210980	17689020
320	32000000	1019560	964790	1735130	1722760	2391000	2546360	10396760	21099391.7	13790350	18209650
321	32100000	889330	1063900	1709400	1755920	2479860	2480830	10722570	21301670.81	13746850	18353150
